space_id,space,type_id,type,category_id,category
43,STOOP,1,EMERGENCY,8,APPLIANCE
64,KITCHENETTE,2,HAZARDOUS,9,PLUMBING
66,PRIVATE HALLWAY,3,NON EMERGENCY,10,ELECTRIC
67,TERRACE,4,IMMEDIATE EMERGENCY,11,GENERAL
68,ENTIRE APARTMENT,,,12,HEATING
71,COMPACTOR CLOSET,,,13,NONCONST
73,COURT,,,27,CONSTRUCTION
76,FIRE STAIRS,,,28,PAINT/PLASTER
78,FRONT AREAWAY,,,56,DOOR/WINDOW
81,LOBBY,,,57,ELEVATOR
83,OTHER,,,58,FLOORING/STAIRS
85,PUBLIC HALL,,,59,HEAT/HOT WATER
86,PUBLIC HALL STAIRS,,,61,OUTSIDE BUILDING
148,ENTIRE BUILDING,,,62,SAFETY
158,ROOM,,,63,UNSANITARY CONDITION
159,OTHER,,,65,WATER LEAK
179,BEDROOM 2,,,,
180,BEDROOM 3,,,,
181,KITCHEN,,,,
187,BASEMENT,,,,
191,YARD,,,,
192,ENTRANCE,,,,
538,ALL PUBLIC AREAS,,,,
541,BATHROOM,,,,
542,BEDROOM,,,,
543,ENTIRE APARTMENT,,,,
544,ENTIRE BUILDING,,,,
545,ENTRANCE/FOYER,,,,
546,KITCHEN,,,,
547,LIVING ROOM,,,,
548,OTHER ROOM/AREA,,,,
549,PRIVATE HALL,,,,
550,BUILDING-WIDE,,,,
551,AIR SHAFT,,,,
552,BALCONY/TERRACE,,,,
553,BASEMENT,,,,
554,BATHROOM,,,,
555,BOILER ROOM,,,,
556,BUILDING ENTRANCE,,,,
557,CELLAR,,,,
558,COMPACTOR CLOSET,,,,
560,COURTYARD,,,,
561,ELEVATOR,,,,
562,FIRE ESCAPE/EGRESS,,,,
563,FIRE EXIT/PASSAGEWAY,,,,
564,FIRE STAIRS/TOWER,,,,
565,GARAGE,,,,
566,HALLWAY,,,,
567,KITCHEN,,,,
568,LAUNDRY ROOM,,,,
569,LOBBY,,,,
570,METER ROOM,,,,
571,OTHER ROOM/AREA,,,,
572,OUTSIDE,,,,
573,ROOF,,,,
574,STAIRS,,,,
575,STOOP,,,,
576,STORAGE ROOM,,,,
577,YARD,,,,
588,PUBLIC HALL BULKHEAD,,,,
